percentile,final_cap_bs,cagr_bs,sharpe_bs,maxdd_bs,cagr_pm,sharpe_pm,maxdd_pm
1,10355.13128661913,1.5090008036579887,0.07570282712686288,-33.37723637014081,0.5680277539239276,0.027897865468457256,-35.12193143387697
5,12492.61982951884,10.022674817645857,0.5254078424615282,-24.723540644900893,9.8027682632645,0.5031311971741806,-25.858369443405635
10,13522.94387478635,13.829218300162076,0.7442348582187658,-20.95595824403445,13.94107648812905,0.7319620931176106,-22.011028253576114
25,15431.112942861306,20.463974759217958,1.1272067008977535,-16.310394859219365,20.719542639456833,1.1323158652483944,-16.919580598190436
50,17589.77054496568,27.427122823085938,1.5541654023421403,-12.508684323078771,27.73943189757164,1.5773888464466026,-12.888647482676141
75,19741.832763209448,33.898507930868625,1.9705731750120272,-9.815517419660178,33.983036703722426,2.0108490498933698,-10.047975066013901
90,21656.420657286548,39.32486061147053,2.3360521061298076,-7.9688535231994555,39.65662758589069,2.4312980463277643,-8.053811705665135
95,22870.741447285498,42.62561487201577,2.56049411787358,-7.074278191408046,42.978303082218396,2.6821240547581637,-7.1544756052136425
99,25330.375169948013,49.017319693839816,3.0225785990530576,-5.756576060536498,48.80179887942555,3.1462854729278846,-5.795214134399743
