fold,period,train_start,test_start,test_end,best_sl,best_tp,is_sharpe,oos_sharpe,is_cagr,oos_cagr,oos_maxdd,oos_trades,oos_winrate
1,2023-01 → 2023-08,2023-01-01 06:00:00,2023-06-30 06:00:00,2023-08-29 05:00:00,2.0,3.0,1.722314923177725,0.4386874887714986,23.79893923357517,4.661437618609421,-4.426268695274816,19,47.368421052631575
2,2023-03 → 2023-10,2023-03-02 06:00:00,2023-08-29 06:00:00,2023-10-28 05:00:00,2.0,3.0,1.6491703459869254,-1.593923752593945,22.669753940922345,-20.88118060787326,-6.660515841752311,28,39.285714285714285
3,2023-05 → 2023-12,2023-05-01 06:00:00,2023-10-28 06:00:00,2023-12-27 05:00:00,1.0,3.0,0.2111316024384184,0.6270925477647733,2.291438656806699,11.908937874750691,-6.747008616285939,28,32.142857142857146
4,2023-06 → 2024-02,2023-06-30 06:00:00,2023-12-27 06:00:00,2024-02-25 05:00:00,1.0,2.5,0.9549365301043296,0.4904569881607412,18.26892681967376,8.595118149548231,-6.282565142803338,29,41.37931034482759
5,2023-08 → 2024-04,2023-08-29 06:00:00,2024-02-25 06:00:00,2024-04-25 05:00:00,1.5,2.5,0.4508891601390527,-3.138634868458688,5.92160502913468,-32.614037256960835,-7.163278202354763,20,30.0
6,2023-10 → 2024-06,2023-10-28 06:00:00,2024-04-25 06:00:00,2024-06-24 05:00:00,1.0,3.0,0.7066508013118195,-6.139965562648451,13.38290708583214,-62.19976891212835,-16.379979459957102,28,17.857142857142858
7,2023-12 → 2024-08,2023-12-27 06:00:00,2024-06-24 06:00:00,2024-08-23 05:00:00,1.5,2.0,-0.22633648536242568,-0.12541621080903526,-3.611879950582675,-2.5330927747150733,-7.323232461810219,26,50.0
8,2024-02 → 2024-10,2024-02-25 06:00:00,2024-08-23 06:00:00,2024-10-22 05:00:00,1.5,2.0,-1.0799004274103718,-1.3584006048914925,-13.211437735874076,-17.235882528474534,-5.839882913726624,23,43.47826086956522
9,2024-04 → 2024-12,2024-04-25 06:00:00,2024-10-22 06:00:00,2024-12-21 05:00:00,1.5,2.0,-0.7025710307108868,3.013645475362295,-9.458351585439818,51.21511585913821,-3.3496952677151555,29,62.06896551724138
10,2024-06 → 2025-02,2024-06-24 06:00:00,2024-12-21 06:00:00,2025-02-19 05:00:00,1.0,2.5,2.2251226666711967,-1.609868028201176,53.34665788823221,-24.035033872813283,-10.145372227731238,23,30.434782608695656
11,2024-08 → 2025-04,2024-08-23 06:00:00,2025-02-19 06:00:00,2025-04-20 05:00:00,1.0,2.5,1.3773686799624487,-1.6312704328798024,27.833880224761632,-28.296404730625213,-7.719861382248554,30,30.0
