sl_mult,tp_mult,h_from,h_to,sharpe,cagr,max_dd,win_rate,n_trades,calmar
1.0,2.5,6,22,1.5625822084025276,38.47400909165033,-17.904027788255092,34.12887828162291,419,2.148902445118466
1.0,3.0,6,22,1.5241546613473909,41.105921508669226,-18.354487887731686,30.317848410757946,409,2.2395569824721075
1.5,2.5,6,22,1.098852096644582,19.055628296467788,-14.051233980205103,41.66666666666667,396,1.3561533686872416
1.5,3.0,6,22,1.0821506695675696,20.292381317382425,-14.096637674874515,37.43455497382199,382,1.4395192517114237
1.0,2.0,6,22,1.064476928178216,21.072390454592572,-17.143427174825888,37.12296983758701,431,1.2291819039273626
2.0,2.5,6,22,0.896256242366916,12.495132399524778,-12.65225341973976,47.98927613941019,373,0.9875815781582555
2.0,3.0,6,22,0.8922332835664851,13.397804096522314,-13.384808344686231,43.575418994413404,358,1.0009709329787484
1.0,2.5,8,20,0.6143218210239082,10.831604993895926,-21.34365893923072,30.878186968838527,353,0.5074858544514544
1.5,2.0,6,22,0.603616469609597,8.466611083843434,-12.171820956969428,45.1219512195122,410,0.695591162059902
1.0,2.5,8,18,0.5166375032560204,8.410370985533767,-21.704016204648877,30.58103975535168,327,0.3875029813022492
1.0,3.0,8,20,0.49625513292754253,8.800162763236852,-18.741774269887014,26.801152737752158,347,0.46954800738243574
1.0,3.0,8,18,0.4538772075943034,7.590524256935094,-20.45172038691035,26.70807453416149,322,0.37114355728201887
2.0,2.0,6,22,0.3328573546488578,3.5259759542245472,-12.729233443220068,51.28865979381443,388,0.27699829451258723
1.5,2.5,8,20,0.2307714172248417,2.4117333510883743,-17.24473902850217,38.43843843843844,333,0.13985328204168543
1.5,3.0,8,20,0.15382759013287106,1.1900349440275848,-17.118728555935686,33.95061728395062,324,0.06951654967476871
1.5,2.5,8,18,0.10534568637714137,0.46292045929750003,-21.984063444221196,37.942122186495176,311,0.02105709258309045
1.5,3.0,8,18,0.026524712538198828,-0.8710745263126873,-21.812464613168473,33.442622950819676,305,-0.03993471355762375
2.0,2.5,8,20,0.02489406826959646,-0.5136240433492367,-18.463934210806755,44.55128205128205,312,-0.02781769245303191
1.0,2.0,8,20,-0.049005499212338495,-2.360654117241523,-25.1329717742557,33.147632311977716,359,-0.09392658132292962
2.0,2.5,8,18,-0.060092934863384254,-1.5230733262078355,-20.930054995881513,44.178082191780824,292,-0.07276967626255815
2.0,3.0,8,20,-0.09241524922211086,-2.235062801749732,-22.338940350909592,39.603960396039604,303,-0.10005231970005798
1.0,2.0,8,18,-0.12770237517584412,-3.4945537907575153,-27.29161545226486,32.831325301204814,332,-0.12804495933447982
2.0,3.0,8,18,-0.1590184221091749,-3.013950495336437,-23.770507574469292,39.29824561403509,285,-0.12679369533419513
1.5,2.0,8,20,-0.29829643712076614,-4.995304190656169,-22.408803675352125,41.64222873900293,341,-0.2229170402412245
2.0,2.0,8,20,-0.5115379516394015,-6.490998544237325,-24.252094190946345,47.82608695652174,322,-0.26764692950353575
1.5,2.0,8,18,-0.513518691645613,-7.479645149707714,-28.073615038325034,40.694006309148264,317,-0.2664297112964179
2.0,2.0,8,18,-0.6813882820552583,-8.04187028995571,-27.178627201635543,47.0,300,-0.29588949545883503
