scenario,cagr,total_ret,max_dd,sharpe,n_trades,final_cap
V5 Baseline,13.61031746073551,34.62428569931093,-11.615730788168143,0.77517811461977,290,13462.428569931093
S1: Win Rate −10%,-1.378422725132411,-3.1823293799457697,-16.40898029615971,-0.07187367898803418,290,9681.767062005423
S2: Avg Loss +30%,-12.380953534650663,-26.50554773621957,-41.81692930398913,-0.5443463123654637,290,7349.445226378043
S3: S1+S2 Combinati,-31.69193446924471,-58.85474783785968,-71.0363111407719,-1.2231533749907695,290,4114.525216214032
S4: Solo Short (Bear),1.5735120592928142,3.704712781390751,-13.306949630811516,0.15139492065458102,97,10370.471278139075
