fold,period,train_start,test_start,test_end,best_sl_scale,best_tp_scale,is_sharpe,oos_sharpe,is_cagr,oos_cagr,oos_maxdd,oos_trades,oos_winrate
1,2023-01 → 2023-10,2023-01-01 06:00:00,2023-08-29 06:00:00,2023-10-28 05:00:00,0.75,1.25,1.6989970858237442,-1.0376675461761307,43.061928021793584,-20.048181852432524,-10.828830643766713,17,17.647058823529413
2,2023-03 → 2023-12,2023-03-02 06:00:00,2023-10-28 06:00:00,2023-12-27 05:00:00,0.75,1.25,1.1062270945823838,0.010324336459514253,24.819583351021745,-1.5520699175020636,-6.7310861930496815,15,20.0
3,2023-05 → 2024-02,2023-05-01 06:00:00,2023-12-27 06:00:00,2024-02-25 05:00:00,0.75,1.25,-0.3480249203665099,3.5643222159506402,-8.096453058105169,132.87151026477684,-2.3047850713462945,11,45.45454545454545
4,2023-06 → 2024-04,2023-06-30 06:00:00,2024-02-25 06:00:00,2024-04-25 05:00:00,0.75,1.25,0.99107368937306,-2.952702528643838,20.61912156658554,-34.9092060679043,-8.747817076400509,12,8.333333333333332
5,2023-08 → 2024-06,2023-08-29 06:00:00,2024-04-25 06:00:00,2024-06-24 05:00:00,1.0,0.75,0.6449927859522847,0.07244233316184985,7.858007219474339,0.10408318208077194,-3.8129562327691677,17,35.294117647058826
6,2023-10 → 2024-08,2023-10-28 06:00:00,2024-06-24 06:00:00,2024-08-23 05:00:00,0.75,0.75,0.9937737808860054,2.5594170767762505,16.003129786740764,56.82719398144287,-4.432120037202656,15,40.0
7,2023-12 → 2024-10,2023-12-27 06:00:00,2024-08-23 06:00:00,2024-10-22 05:00:00,0.75,0.75,1.6940168810367298,-1.265769344893458,30.846682704315587,-17.45876564565244,-4.586324487183755,13,23.076923076923077
8,2024-02 → 2024-12,2024-02-25 06:00:00,2024-10-22 06:00:00,2024-12-21 05:00:00,0.75,0.75,0.4375509794657793,0.5075984000079675,5.83179605129398,7.223068078350248,-4.4745844244406605,15,33.33333333333333
9,2024-04 → 2025-02,2024-04-25 06:00:00,2024-12-21 06:00:00,2025-02-19 05:00:00,1.25,1.25,1.5727799155933917,0.7903947374983654,25.574754248770603,10.178303892847108,-4.81110843828778,11,27.27272727272727
10,2024-06 → 2025-04,2024-06-24 06:00:00,2025-02-19 06:00:00,2025-04-20 05:00:00,1.25,1.25,2.0181273631007874,-1.3275354443418583,34.70538468377913,-18.381206459741996,-6.83706364150681,15,20.0
